id,F Name,L Name,Gender,Location,Categories,Hit count,Total Views
3013,Aditya,Pal,Male,Chandigarh,"['Ministry of Company Affairs', 'Ministry of Coal', 'Ministry of External Affairs']",66,28
3014,Aarav,Bedi,Female,Maharashtra,['Ministry of Petroleum and Natural Gases'],78,56
3015,Anvi,Ray,Female,Uttarakhand,"['UPSC', 'Ministry of Youth Affairs and Sports']",51,93
3016,Ishaan,Khanna,Male,Rajasthan,"['Ministry of Petroleum and Natural Gases', 'Ministry of Coal', 'Ministry of Commerce and Industry', 'UPSC']",89,59
3017,Kyra,Mannan,Male,Bihar,"['AYUSH', 'UPSC', 'Ministry of Coal', 'Ministry of Civil Aviation']",5,93
3018,Eva,Gandhi,Female,Assam,"['Ministry of Coal', ""Prime Minister's Office""]",79,90
3019,Anaya,Chakrabarti,Female,Jammu and Kashmir,"['Ministry of Tourism', 'Ministry of Law and Justice']",4,45
3020,Kabir,Gill,Male,Tripura,"['Ministry of Coal', 'Ministry of Tourism']",85,20
3021,Ahana,Bedi,Male,Rajasthan,"['Ministry of Culture', 'Ministry of Communications', 'Ministry of Science and Technology', 'Ministry of External Affairs']",88,6
3022,Aditya,Apte,Female,Telangana,"['Ministry of Electronics and IT', ""Prime Minister's Office"", 'Ministry of Civil Aviation']",67,92
3023,Aarohi,Purohit,Male,Meghalaya,"['Ministry of Power', 'PM Speech', 'Ministry of Tribal Affairs', 'Ministry of Tourism']",83,48
3024,Sara,Mani,Female,Uttar Pradesh,['PM Speech'],87,40
3025,Anaya,Dewan,Others,Himachal Pradesh,"['Ministry of Steel', 'Department of Atomic Energies', 'Ministry of Electronics and IT', 'Ministry of Law and Justice']",57,40
3026,Diya,Ahluwalia,Male,Telangana,"['Ministry of Science and Technology', 'Ministry of Youth Affairs and Sports']",67,11
3027,Advik,Apte,Female,Jammu and Kashmir,"['Ministry of Petroleum and Natural Gases', 'Ministry of Culture', 'Ministry of Youth Affairs and Sports']",67,63
3028,Eva,Kaur,Male,Manipur,"['Ministry of Information and Broadcasting', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Steel']",99,92
3029,Advaith,Kumar,Female,Tripura,"['Ministry of Tourism', 'PM Speech', 'Ministry of Steel']",20,52
3030,Vivaan,Sachdev,Female,Jammu and Kashmir,"['Ministry of Tribal Affairs', 'Ministry of Science and Technology', 'Ministry of Law and Justice']",30,52
3031,Iraa,Ganguly,Male,Bihar,"['Ministry of External Affairs', 'Ministry of Power', 'Department of Atomic Energies', 'UPSC']",7,8
3032,Diya,Chawla,Male,West Bengal,"['Ministry of Tribal Affairs', 'Ministry of External Affairs', 'Ministry of Science and Technology', 'Ministry of Youth Affairs and Sports']",75,53
3033,Eva,Gokhale,Female,Chhattisgarh,"['Ministry of Electronics and IT', ""Prime Minister's Office"", 'Ministry of Civil Aviation']",65,25
3034,Advik,Mannan,Male,Assam,['Ministry of Housing and Urban Affairs'],1,88
3035,Pranav,Kaur,Male,Assam,"['Ministry of Housing and Urban Affairs', 'PM Speech', 'AYUSH', 'Ministry of Company Affairs']",30,75
3036,Advik,Mannan,Female,Andaman and Nicobar Islands,['Ministry of Communications'],76,29
3037,Kabir,Ray,Male,Uttar Pradesh,"['Ministry of Electronics and IT', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Youth Affairs and Sports']",93,59
3038,Aarav,Chakrabarti,Female,Lakshadweep,"['Department of Atomic Energies', ""Prime Minister's Office"", 'AYUSH', 'Ministry of Science and Technology']",18,58
3039,Kabir,Naidu,Female,Meghalaya,"['Ministry of Coal', ""Prime Minister's Office"", 'Ministry of Power']",25,31
3040,Kyra,Pal,Male,Telangana,"['Ministry of Civil Aviation', 'Ministry of External Affairs']",26,24
3041,Diya,Basu,Female,Andhra Pradesh,"['Ministry of Youth Affairs and Sports', 'Ministry of Steel']",41,70
3042,Aayan,Kohli,Male,West Bengal,"['Ministry of Defence', 'Ministry of Commerce and Industry', 'Ministry of Tourism']",32,50
3043,Ananya,Ahuja,Male,West Bengal,"[""Prime Minister's Office"", 'PM Speech', 'Ministry of Communications']",42,63
3044,Myra,Biswas,Female,Assam,"['Ministry of Defence', 'Ministry of Tourism', 'Department of Atomic Energies', 'Ministry of Agriculture and Farmers Welfare']",58,97
3045,Advik,Parekh,Female,Manipur,"['AYUSH', 'Ministry of Company Affairs']",44,45
3046,Aayan,Malhotra,Male,Karnataka,"['Ministry of Information and Broadcasting', ""Prime Minister's Office"", 'Ministry of Commerce and Industry', 'Ministry of Petroleum and Natural Gases']",37,63
3047,Eva,Mehta,Male,Andaman and Nicobar Islands,"['Ministry of Tribal Affairs', 'Ministry of Petroleum and Natural Gases']",76,59
3048,Angel,Modi,Female,Goa,"['Ministry of Commerce and Industry', 'Ministry of Power', 'Ministry of Agriculture and Farmers Welfare']",69,80
3049,Mohammed,Bhasin,Male,Odisha,"['Department of Atomic Energies', 'Ministry of Electronics and IT', 'Ministry of Steel']",61,7
3050,Ishaan,Jain,Female,Nagaland,"['PM Speech', 'Ministry of Culture']",1,97
3051,Aayan,Kumar,Female,Delhi,"['UPSC', 'AYUSH', 'Ministry of Culture', 'Ministry of External Affairs']",99,25
3052,Pranav,Chowdhury,Female,Delhi,['PM Speech'],8,23
3053,Pari,Sachdev,Female,Tripura,"['Ministry of Law and Justice', 'Ministry of Commerce and Industry']",68,68
3054,Diya,Pal,Female,Mizoram,"['Ministry of External Affairs', ""Prime Minister's Office"", 'UPSC', 'Ministry of Information and Broadcasting']",17,2
3055,Vihaan,Singh,Female,Mizoram,"['UPSC', 'AYUSH', 'Ministry of Tribal Affairs', 'Ministry of Commerce and Industry']",46,17
3056,Arjun,Pal,Female,Lakshadweep,['Ministry of Company Affairs'],15,52
3057,Vivaan,Khanna,Female,Tamil Nadu,"['Ministry of Coal', 'Ministry of Law and Justice', 'Ministry of Youth Affairs and Sports']",56,74
3058,Iraa,Khurana,Male,Daman and Diu,"['Ministry of Communications', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Law and Justice', 'Ministry of Power']",95,15
3059,Ananya,Gandhi,Male,Uttarakhand,"[""Prime Minister's Office"", 'Ministry of Youth Affairs and Sports', 'Ministry of Law and Justice']",58,67
3060,Shanaya,Kumar,Male,Kerala,"['Ministry of Information and Broadcasting', 'Ministry of Company Affairs', 'Ministry of Civil Aviation']",78,26
3061,Diya,Pal,Female,Jammu and Kashmir,"['Ministry of Housing and Urban Affairs', 'Ministry of Science and Technology']",16,26
3062,Anaya,Malhotra,Female,Daman and Diu,"['Ministry of Culture', 'Ministry of Civil Aviation', 'Ministry of Tribal Affairs']",37,18
3063,Diya,Anand,Male,Uttarakhand,"['Ministry of Information and Broadcasting', 'AYUSH', 'Ministry of Steel']",55,75
3064,Dhruv,Malhotra,Female,Bihar,"['Ministry of Tribal Affairs', 'Ministry of Petroleum and Natural Gases', 'Ministry of Science and Technology', 'Ministry of External Affairs']",8,94
3065,Prisha,Basu,Male,West Bengal,"['Ministry of Petroleum and Natural Gases', 'Ministry of Steel', 'PM Speech']",91,2
3066,Ananya,Kaur,Female,Himachal Pradesh,"['Ministry of Youth Affairs and Sports', 'Ministry of Agriculture and Farmers Welfare', 'AYUSH']",30,57
3067,Riya,Lal,Female,Delhi,"['Department of Atomic Energies', 'AYUSH', 'Ministry of External Affairs', 'PM Speech']",59,40
3068,Ritvik,Basu,Female,Goa,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Commerce and Industry', 'PM Speech', 'Ministry of Petroleum and Natural Gases']",40,14
3069,Ishaan,Pal,Male,Chandigarh,"['PM Speech', 'Ministry of Petroleum and Natural Gases']",89,46
3070,Sara,Ahuja,Female,Kerala,['Ministry of Steel'],92,58
3071,Vivaan,Dewan,Male,Jammu and Kashmir,"[""Prime Minister's Office"", 'Ministry of Housing and Urban Affairs']",68,92
3072,Iraa,Kohli,Female,Uttarakhand,['Ministry of Electronics and IT'],12,63
3073,Aadhya,Parekh,Male,Himachal Pradesh,"['Ministry of Law and Justice', 'Ministry of Communications']",84,91
3074,Angel,Mani,Male,Dadra and Nagar Haveli,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Information and Broadcasting', 'Ministry of Housing and Urban Affairs']",98,47
3075,Iraa,Pal,Male,Manipur,"['Ministry of Law and Justice', 'Ministry of Commerce and Industry', 'Ministry of Electronics and IT']",19,8
3076,Saanvi,Kumar,Male,Uttarakhand,"['AYUSH', 'Ministry of Housing and Urban Affairs', 'Ministry of Culture']",65,86
3077,Dhruv,Khatri,Female,Bihar,"['Ministry of Defence', 'Ministry of Petroleum and Natural Gases']",62,56
3078,Arjun,Bhasin,Female,Chandigarh,"['Ministry of Law and Justice', 'Ministry of Tribal Affairs', 'Ministry of Science and Technology']",82,54
3079,Aayan,Chowdhury,Male,Uttarakhand,"['Ministry of Law and Justice', 'Ministry of Youth Affairs and Sports']",16,64
3080,Ananya,Biswas,Female,Uttar Pradesh,"['Ministry of Culture', 'Ministry of Youth Affairs and Sports', 'Ministry of Petroleum and Natural Gases', 'Ministry of External Affairs']",30,18
3081,Pranav,Parekh,Male,Maharashtra,['Department of Atomic Energies'],21,50
3082,Kian,Mani,Female,Jharkhand,"['Ministry of Coal', 'Ministry of Petroleum and Natural Gases', ""Prime Minister's Office""]",5,65
3083,Angel,Bakshi,Male,Sikkim,"['Department of Atomic Energies', 'Ministry of Tourism', 'Ministry of Information and Broadcasting', 'Ministry of Petroleum and Natural Gases']",22,47
3084,Vihaan,Mehta,Male,West Bengal,['UPSC'],1,14
3085,Aarav,Khanna,Others,Sikkim,"['Ministry of Housing and Urban Affairs', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Commerce and Industry']",13,17
3086,Aadhya,Ganguly,Female,Odisha,"['Ministry of Steel', 'Ministry of Civil Aviation', 'Ministry of Commerce and Industry', 'PM Speech']",30,47
3087,Kian,Bhasin,Male,Meghalaya,"['Ministry of Law and Justice', 'Ministry of Power', 'Ministry of Youth Affairs and Sports']",65,66
3088,Aarav,Gupta,Male,Andaman and Nicobar Islands,['Ministry of Law and Justice'],8,44
3089,Vihaan,Mani,Female,Jharkhand,"['Ministry of Communications', 'Department of Atomic Energies']",36,75
3090,Ahana,Chandra,Male,Chhattisgarh,"['Department of Atomic Energies', 'Ministry of Law and Justice', 'Ministry of Electronics and IT']",74,20
3091,Shanaya,Khurana,Female,Uttarakhand,"[""Prime Minister's Office"", 'Ministry of Communications']",53,50
3092,Kian,Mannan,Female,Puducherry,"['Ministry of Electronics and IT', 'Ministry of Culture', 'Ministry of Tourism']",84,92
3093,Kabir,Modi,Female,Kerala,"['Ministry of Youth Affairs and Sports', 'Ministry of Culture', 'Ministry of Law and Justice']",54,66
3094,Myra,Saraf,Male,Andaman and Nicobar Islands,"['Department of Atomic Energies', 'Ministry of Law and Justice']",67,94
3095,Vihaan,Pal,Female,Manipur,"['Ministry of Company Affairs', 'Ministry of Defence', ""Prime Minister's Office"", 'AYUSH']",25,37
3096,Aaradhya,Jha,Male,Manipur,"['AYUSH', 'PM Speech']",76,37
3097,Advaith,Basu,Female,Rajasthan,"['PM Speech', 'Ministry of Communications', 'Ministry of Steel', 'AYUSH']",21,80
3098,Anaya,Anand,Male,Chhattisgarh,"['Ministry of Petroleum and Natural Gases', 'Ministry of Information and Broadcasting', 'AYUSH']",61,15
3099,Eva,Naidu,Female,Bihar,['Ministry of Culture'],19,43
3100,Sai,Khanna,Male,Tripura,"['Ministry of Tribal Affairs', 'Ministry of Communications']",70,3
3101,Arjun,Bedi,Female,Andaman and Nicobar Islands,"['Ministry of Information and Broadcasting', 'Ministry of External Affairs', 'Ministry of Tribal Affairs']",77,38
3102,Advaith,Kumar,Female,Odisha,"['AYUSH', 'Ministry of Tribal Affairs']",56,23
3103,Eva,Mehta,Male,Uttarakhand,"['Ministry of Law and Justice', 'Ministry of Culture']",54,82
3104,Reyansh,Chowdhury,Male,Andhra Pradesh,"['Ministry of Electronics and IT', 'Department of Atomic Energies']",92,70
3105,Kian,Gandhi,Female,Maharashtra,"['Ministry of Law and Justice', 'Ministry of Civil Aviation', 'Ministry of Steel', 'AYUSH']",3,65
3106,Kabir,Biswas,Female,Tripura,"['Ministry of Communications', 'UPSC']",98,40
3107,Anika,Kohli,Male,Lakshadweep,"['Ministry of Tourism', 'Ministry of Company Affairs', 'PM Speech', 'Ministry of Communications']",3,45
3108,Veer,Gandhi,Male,Arunachal Pradesh,"['Ministry of Information and Broadcasting', ""Prime Minister's Office""]",8,93
3109,Kyra,Dalal,Female,Kerala,"['Ministry of Commerce and Industry', 'Ministry of Tribal Affairs', 'Ministry of Company Affairs', 'Ministry of Tourism']",3,35
3110,Reyansh,Dewan,Female,Sikkim,"['Ministry of Power', 'Ministry of Youth Affairs and Sports']",78,8
3111,Navya,Mani,Male,Bihar,"['Ministry of Tribal Affairs', 'Ministry of Civil Aviation', 'Ministry of Defence']",59,59
3112,Pari,Gandhi,Male,Nagaland,['Ministry of Petroleum and Natural Gases'],82,88
3113,Sai,Kaur,Male,Odisha,['Department of Atomic Energies'],52,74
3114,Ishaan,Kaur,Male,Nagaland,"['Ministry of Culture', 'Department of Atomic Energies']",87,34
3115,Mohammed,Gokhale,Male,Tripura,['Ministry of External Affairs'],13,56
3116,Advaith,Apte,Female,Meghalaya,"[""Prime Minister's Office"", 'Department of Atomic Energies', 'Ministry of Tourism', 'Ministry of Youth Affairs and Sports']",31,92
3117,Vivaan,Basu,Female,West Bengal,"['Ministry of External Affairs', 'Ministry of Youth Affairs and Sports', 'Ministry of Defence', 'Ministry of Information and Broadcasting']",86,87
3118,Vihaan,Ahluwalia,Female,Jammu and Kashmir,"['Ministry of Electronics and IT', 'Ministry of Communications', 'Ministry of Science and Technology']",3,96
3119,Anvi,Chawla,Female,Puducherry,"['Department of Atomic Energies', 'Ministry of Information and Broadcasting', 'Ministry of Tourism']",78,68
3120,Advik,Gandhi,Male,Sikkim,"['Department of Atomic Energies', 'Ministry of Tourism']",34,39
3121,Pranav,Kaur,Female,Maharashtra,['Ministry of Company Affairs'],52,47
3122,Vihaan,Chandra,Female,Meghalaya,"['AYUSH', 'Ministry of Housing and Urban Affairs', 'Ministry of Tribal Affairs']",61,80
3123,Aaryan,Dubey,Female,Daman and Diu,"['Ministry of Coal', 'Ministry of Youth Affairs and Sports', 'Ministry of Petroleum and Natural Gases', 'Ministry of Defence']",22,91
3124,Ahana,Jha,Female,Telangana,"['Ministry of Law and Justice', 'PM Speech', 'Ministry of Tourism', 'Ministry of Agriculture and Farmers Welfare']",7,14
3125,Mohammed,Gokhale,Female,Delhi,['Ministry of Defence'],45,3
3126,Vivaan,Basu,Male,Jammu and Kashmir,"['Ministry of Tourism', 'Ministry of Steel', 'Ministry of Defence']",68,41
3127,Kian,Pal,Female,Andhra Pradesh,"['AYUSH', 'Ministry of Science and Technology', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Tribal Affairs']",29,38
3128,Anaya,Jha,Male,Haryana,['Ministry of Science and Technology'],48,35
3129,Vivaan,Kaur,Male,Jharkhand,"['Ministry of Culture', 'Ministry of Power']",79,47
3130,Arnav,Bakshi,Male,Andhra Pradesh,"['Ministry of Electronics and IT', 'Ministry of Information and Broadcasting', 'Ministry of Power', 'Ministry of Science and Technology']",69,16
3131,Siya,Biswas,Male,Lakshadweep,"['Ministry of Housing and Urban Affairs', 'AYUSH', 'Ministry of Tribal Affairs']",81,13
3132,Vivaan,Sachdev,Male,Madhya Pradesh,"['Ministry of Coal', 'Department of Atomic Energies']",64,59
3133,Myra,Datta,Male,Goa,"['Ministry of Tourism', 'Ministry of Science and Technology', 'Department of Atomic Energies', 'Ministry of Communications']",6,88
3134,Vivaan,Gokhale,Female,Chandigarh,"['Ministry of Steel', 'Ministry of Civil Aviation', 'Ministry of Tourism', 'Ministry of Housing and Urban Affairs']",99,87
3135,Riya,Dewan,Female,Jharkhand,['AYUSH'],51,76
3136,Vihaan,Gokhale,Female,Jharkhand,['Ministry of Defence'],56,78
3137,Kian,Ganguly,Female,Tamil Nadu,"['Ministry of Defence', 'AYUSH']",9,2
3138,Riya,Mannan,Female,Arunachal Pradesh,"['Ministry of Information and Broadcasting', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Steel']",20,94
3139,Mohammed,Kaur,Male,Puducherry,"[""Prime Minister's Office""]",14,93
3140,Ritvik,Ray,Male,Telangana,"['Ministry of Electronics and IT', ""Prime Minister's Office"", 'Department of Atomic Energies', 'Ministry of Tourism']",4,25
3141,Eva,Dubey,Male,Rajasthan,"['Ministry of Defence', 'Ministry of Agriculture and Farmers Welfare']",89,84
3142,Aayan,Datta,Male,Jharkhand,"['Ministry of Culture', 'Ministry of Steel', 'Department of Atomic Energies']",74,10
3143,Aditya,Chakrabarti,Male,Manipur,"['Ministry of Civil Aviation', 'Ministry of External Affairs']",82,21
3144,Ritvik,Das,Male,Mizoram,"['UPSC', 'Ministry of Science and Technology', 'Ministry of Company Affairs', 'Ministry of Power']",26,94
3145,Aarush,Thakur,Male,Haryana,"['Ministry of Culture', ""Prime Minister's Office""]",59,48
3146,Pranav,Gupta,Female,Chhattisgarh,['AYUSH'],22,2
3147,Krishna,Ahuja,Female,Rajasthan,"['Ministry of Power', 'AYUSH']",6,5
3148,Sai,Biswas,Male,Tripura,['Ministry of Youth Affairs and Sports'],16,11
3149,Advik,Khatri,Female,Haryana,"['Ministry of Power', 'Ministry of Company Affairs']",53,54
3150,Mohammed,Bakshi,Male,Manipur,['Ministry of Science and Technology'],73,47
3151,Sai,Dalal,Male,Delhi,['Ministry of Civil Aviation'],38,31
3152,Ahana,Apte,Male,Puducherry,['Ministry of Steel'],58,43
3153,Pari,Bhasin,Male,Haryana,"['Ministry of Culture', 'Ministry of Coal', 'Ministry of Steel', 'Ministry of Tribal Affairs']",31,22
3154,Kian,Balakrishna,Female,Delhi,"['Ministry of Steel', 'Ministry of Power']",97,81
3155,Dhruv,Ahluwalia,Female,Manipur,['Ministry of Company Affairs'],20,9
3156,Sara,Thakur,Male,Gujarat,"['Ministry of Youth Affairs and Sports', 'UPSC', 'Department of Atomic Energies']",69,92
3157,Anaya,Chowdhury,Female,Daman and Diu,"['Ministry of Commerce and Industry', 'Ministry of Coal']",77,68
3158,Advik,Modi,Female,Karnataka,"['Ministry of Company Affairs', 'Ministry of Defence']",6,84
3159,Anvi,Khanna,Female,Delhi,"['PM Speech', 'Ministry of Tribal Affairs', 'Ministry of Electronics and IT', 'Ministry of Culture']",15,31
3160,Sara,Mani,Female,Uttar Pradesh,"['Ministry of Tourism', 'Ministry of Power', 'Ministry of Defence', 'Ministry of Steel']",90,72
3161,Anaya,Bajwa,Female,Telangana,['Ministry of Commerce and Industry'],12,50
3162,Ananya,Malhotra,Female,Manipur,"['UPSC', 'Department of Atomic Energies', 'Ministry of Tourism']",31,15
3163,Aarush,Balakrishna,Female,Punjab,"['Ministry of Youth Affairs and Sports', 'UPSC']",95,55
3164,Mohammed,Das,Female,Chhattisgarh,"['Ministry of Science and Technology', 'Ministry of Tribal Affairs', 'Ministry of Petroleum and Natural Gases']",54,54
3165,Mohammed,Kulkarni,Male,Kerala,"['Ministry of Information and Broadcasting', 'Ministry of Tribal Affairs']",33,21
3166,Angel,Thakur,Male,Bihar,"['Ministry of Youth Affairs and Sports', 'Ministry of External Affairs']",74,36
3167,Kabir,Modi,Male,Chandigarh,"['AYUSH', 'Ministry of Commerce and Industry', 'Ministry of Defence']",65,26
3168,Shanaya,Chandra,Male,Kerala,"['Ministry of Communications', 'Ministry of Youth Affairs and Sports']",46,91
3169,Anaya,Chowdhury,Female,Rajasthan,"['AYUSH', 'Ministry of Commerce and Industry', 'Ministry of Petroleum and Natural Gases', 'Ministry of Coal']",57,18
3170,Anya,Lal,Male,Sikkim,['Ministry of Tourism'],28,14
3171,Anaya,Dubey,Male,Mizoram,"['Ministry of Commerce and Industry', 'Ministry of Defence', 'Ministry of Law and Justice']",73,86
3172,Saanvi,Ray,Female,Karnataka,['Ministry of Petroleum and Natural Gases'],19,1
3173,Anaya,Kaur,Female,Uttarakhand,"['Ministry of Civil Aviation', 'Department of Atomic Energies', 'Ministry of Coal']",12,82
3174,Arjun,Saraf,Male,Himachal Pradesh,"['Ministry of Company Affairs', 'Ministry of Commerce and Industry']",71,30
3175,Prisha,Chowdhury,Female,Himachal Pradesh,"['Ministry of Housing and Urban Affairs', 'Ministry of Tribal Affairs', 'UPSC', 'Ministry of Youth Affairs and Sports']",65,89
3176,Aarav,Chawla,Male,Gujarat,"['Ministry of Coal', 'Ministry of Defence']",12,94
3177,Advaith,Biswas,Female,Maharashtra,"['Ministry of Information and Broadcasting', 'Ministry of External Affairs', 'Ministry of Culture']",23,54
3178,Sai,Laghari,Male,Jharkhand,"['UPSC', 'PM Speech', 'Ministry of Power', 'Ministry of Agriculture and Farmers Welfare']",13,11
3179,Aarav,Apte,Male,Assam,"['Ministry of Power', 'UPSC', 'Ministry of Coal', 'Ministry of Steel']",93,15
3180,Veer,Pal,Female,Jammu and Kashmir,['Ministry of Culture'],69,53
3181,Sai,Ahluwalia,Male,Gujarat,"['Ministry of Coal', 'Ministry of Electronics and IT', 'UPSC']",13,49
3182,Prisha,Bhasin,Female,Jharkhand,"[""Prime Minister's Office""]",9,40
3183,Kyra,Gill,Female,Haryana,"['Ministry of Electronics and IT', 'UPSC', ""Prime Minister's Office""]",33,69
3184,Riya,Dewan,Female,Puducherry,"['Ministry of Culture', 'Ministry of Tourism', 'Ministry of Coal', 'Ministry of Science and Technology']",41,7
3185,Advaith,Chandra,Female,Odisha,"['Ministry of Tribal Affairs', ""Prime Minister's Office"", 'Ministry of Communications', 'Ministry of Tourism']",87,42
3186,Sai,Saraf,Male,Maharashtra,"['Ministry of Tourism', 'Ministry of Science and Technology']",17,92
3187,Sara,Singh,Male,Daman and Diu,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Tribal Affairs', 'Ministry of Youth Affairs and Sports', 'Ministry of Electronics and IT']",51,90
3188,Prisha,Ray,Female,Nagaland,"['Ministry of Coal', 'Ministry of Tribal Affairs', 'PM Speech', 'Ministry of Electronics and IT']",75,18
3189,Aarav,Malhotra,Male,Uttarakhand,"['Ministry of Science and Technology', 'Ministry of Law and Justice', 'Ministry of External Affairs', 'PM Speech']",24,72
3190,Akshara,Singh,Female,Nagaland,['Ministry of Coal'],78,21
3191,Aayan,Chandra,Male,Odisha,"[""Prime Minister's Office"", 'Ministry of Steel']",50,39
3192,Siya,Modi,Female,Nagaland,"['Ministry of Communications', 'Ministry of Youth Affairs and Sports']",73,50
3193,Aditya,Kulkarni,Others,Rajasthan,"['Ministry of Steel', 'Ministry of Communications']",96,55
3194,Ananya,Gandhi,Male,Haryana,"[""Prime Minister's Office"", 'Ministry of Information and Broadcasting', 'Ministry of Culture', 'Ministry of Civil Aviation']",40,3
3195,Reyansh,Balakrishna,Male,Punjab,"['UPSC', 'Ministry of Power']",47,54
3196,Vivaan,Ray,Female,Maharashtra,"['Ministry of Commerce and Industry', 'Ministry of Housing and Urban Affairs']",56,33
3197,Kyra,Bajwa,Male,Goa,"['Ministry of Science and Technology', 'Ministry of Information and Broadcasting', 'Ministry of Tourism']",71,65
3198,Vihaan,Ahluwalia,Male,Haryana,"['Ministry of Youth Affairs and Sports', 'Ministry of Power', 'PM Speech', 'Ministry of Tribal Affairs']",42,34
3199,Aaryan,Das,Female,Karnataka,"['Ministry of Power', 'Ministry of Defence', 'Ministry of Petroleum and Natural Gases']",76,82
3200,Vivaan,Apte,Male,Arunachal Pradesh,"['Department of Atomic Energies', 'Ministry of Electronics and IT']",50,83
3201,Sara,Datta,Male,Chhattisgarh,"['Ministry of Defence', 'Ministry of Civil Aviation', 'Ministry of Youth Affairs and Sports']",95,61
3202,Pari,Das,Male,Maharashtra,"[""Prime Minister's Office"", 'Ministry of Coal']",25,48
3203,Kian,Sachdev,Female,Tamil Nadu,['Department of Atomic Energies'],89,52
3204,Aaryan,Jain,Female,Assam,"['UPSC', 'Ministry of Tourism', 'Ministry of Power', 'Ministry of Electronics and IT']",3,65
3205,Aayan,Kohli,Female,Andhra Pradesh,"['Ministry of Law and Justice', 'Ministry of Commerce and Industry', 'PM Speech', 'Ministry of Youth Affairs and Sports']",23,15
3206,Aarav,Khatri,Female,Lakshadweep,"['Ministry of Tourism', 'Ministry of External Affairs', 'AYUSH']",25,26
3207,Angel,Chandra,Female,Mizoram,"[""Prime Minister's Office"", 'AYUSH', 'Ministry of Commerce and Industry']",14,50
3208,Dhruv,Ahuja,Female,Haryana,"['Ministry of Communications', 'Ministry of Petroleum and Natural Gases', 'Ministry of Housing and Urban Affairs', 'Ministry of Power']",23,92
3209,Eva,Chawla,Female,West Bengal,"['Ministry of Housing and Urban Affairs', 'Ministry of Tribal Affairs']",17,15
3210,Vihaan,Ray,Male,Madhya Pradesh,['Ministry of Science and Technology'],42,21
3211,Aaradhya,Khatri,Male,Lakshadweep,"['Ministry of Commerce and Industry', 'Ministry of Science and Technology', 'Ministry of External Affairs', 'Ministry of Coal']",53,51
3212,Vivaan,Khanna,Male,Assam,"['Ministry of Culture', 'AYUSH', ""Prime Minister's Office""]",88,59
3213,Aarohi,Balakrishna,Male,Delhi,"['Ministry of Electronics and IT', 'Ministry of Culture', 'Ministry of External Affairs', 'Ministry of Tourism']",1,67
3214,Aarav,Bakshi,Female,Lakshadweep,"['Ministry of Power', 'Ministry of Communications']",59,26
3215,Ahana,Singh,Female,Meghalaya,['Ministry of Civil Aviation'],26,28
3216,Diya,Apte,Female,Gujarat,"['Ministry of Information and Broadcasting', 'Ministry of Tourism', 'PM Speech', 'Ministry of External Affairs']",96,38
3217,Vihaan,Basu,Female,Arunachal Pradesh,"['Ministry of Information and Broadcasting', 'Department of Atomic Energies', 'Ministry of Law and Justice', 'Ministry of Agriculture and Farmers Welfare']",4,62
3218,Advik,Lal,Female,Andhra Pradesh,"['UPSC', ""Prime Minister's Office"", 'Ministry of Civil Aviation']",27,8
3219,Aaradhya,Jain,Male,Karnataka,"['Ministry of External Affairs', 'Ministry of Tribal Affairs', 'UPSC']",40,39
3220,Aarav,Kaur,Female,Tamil Nadu,"['Ministry of Steel', 'Ministry of Company Affairs', 'Ministry of Electronics and IT', 'Ministry of Housing and Urban Affairs']",41,31
3221,Vivaan,Bajwa,Female,Kerala,"['PM Speech', 'Ministry of Power', ""Prime Minister's Office""]",67,39
3222,Diya,Kaur,Male,Himachal Pradesh,"['PM Speech', 'Ministry of Youth Affairs and Sports', 'Ministry of Defence', 'Ministry of Culture']",94,52
3223,Atharva,Biswas,Female,Delhi,"[""Prime Minister's Office"", 'Ministry of Coal', 'Ministry of Electronics and IT', 'Ministry of Steel']",52,71
3224,Aadhya,Singh,Male,Tamil Nadu,"['Ministry of Defence', 'PM Speech']",40,57
3225,Myra,Gupta,Male,West Bengal,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Electronics and IT', 'PM Speech', 'Ministry of Youth Affairs and Sports']",59,74
3226,Vivaan,Ahuja,Male,West Bengal,"['Ministry of Power', 'Ministry of Housing and Urban Affairs', 'Ministry of Communications']",2,77
3227,Advaith,Datta,Male,Assam,"['Ministry of Tribal Affairs', 'Ministry of Communications', 'Ministry of Petroleum and Natural Gases']",19,10
3228,Aaradhya,Gill,Male,Dadra and Nagar Haveli,['Ministry of Power'],65,30
3229,Sara,Pal,Female,Gujarat,['AYUSH'],30,80
3230,Pranav,Lal,Male,Jharkhand,['AYUSH'],24,8
3231,Navya,Ray,Male,Andaman and Nicobar Islands,"['Ministry of Youth Affairs and Sports', 'Department of Atomic Energies', 'Ministry of External Affairs', 'Ministry of Electronics and IT']",55,2
